__v,_id,courseId,category,createdAt,credits,embedId,instructor,name,numOfReviews,ratings,reviews,slug,students,updatedAt
2,62414201b28d80ff20172fe7,1,62413cdeb28d80ff20172fdf,2022-03-28T05:05:05.031Z,2,videoseries?list=PLDui8YQioHUDOEj4V2TmCDo9i6zWgPs8O,6214e2ac0feccaf7d266ebef,ENG 201: INTRODUCTION TO SCIENCE OF MATERIALS,2,2.75,"[{""user"":{""$oid"":""6214e3360feccaf7d266ebf4""},""rating"":4,""comment"":""Wonderful Course."",""_id"":{""$oid"":""6245de70d245ce52e1b2ec3d""}},{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":1.5,""comment"":""Requires lots of improvement."",""_id"":{""$oid"":""6245e9aed245ce52e1b2ec6c""}}]",eng-201:-introduction-to-science-of-materials,[],2022-03-31T17:49:34.687Z
2,62414353b28d80ff20172feb,2,62413cdeb28d80ff20172fdf,2022-03-28T05:10:43.914Z,2,videoseries?list=PLZOZfX_TaWAEg1XjZ1fkUxT0XMB_Nq7hV,6214e2ac0feccaf7d266ebef,ENG 203: STRENGTH OF MATERIALS,2,2.75,"[{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":2.5,""comment"":""Decent"",""_id"":{""$oid"":""6245ecfed245ce52e1b2ec71""}},{""user"":{""$oid"":""6214e3360feccaf7d266ebf4""},""rating"":3,""comment"":""Solid materials course."",""_id"":{""$oid"":""6245f416d245ce52e1b2ec81""}}]",eng-203:-strength-of-materials,[],2022-03-31T18:33:58.470Z
2,62414655817647df4ab0ba2a,3,62413cdeb28d80ff20172fdf,2022-03-28T05:23:33.991Z,2,videoseries?list=PLZOZfX_TaWAGocs2k5QmTL44OKOl7rn34,6214e2ac0feccaf7d266ebef,ENG 214: BASIC FLUID MECHANICS,2,4.25,"[{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":3.5,""comment"":""Very good course for fluids."",""_id"":{""$oid"":""6245ee72d245ce52e1b2ec76""}},{""user"":{""$oid"":""624577d0e92ce9961959d77b""},""rating"":5,""comment"":""Incredible course."",""_id"":{""$oid"":""6245f704d245ce52e1b2ec88""}}]",eng-214:-basic-fluid-mechanics,[],2022-03-31T18:46:28.185Z
2,62417498817647df4ab0ba48,8,62413cdeb28d80ff20172fdf,2022-03-28T08:40:56.973Z,3,videoseries?list=PL9RcWoqXmzaLTYUdnzKhF4bYug3GjGcEc,6214e2ac0feccaf7d266ebef,ENG 221: BASIC ELECTRICAL ENGINEERING I,2,5,"[{""user"":{""$oid"":""6214e3360feccaf7d266ebf4""},""rating"":5,""comment"":""Perfect Introduction to electrical & electronics engineering."",""_id"":{""$oid"":""6245deb8d245ce52e1b2ec42""}},{""user"":{""$oid"":""624577d0e92ce9961959d77b""},""rating"":5,""comment"":""Perfect course for electrical & electronics engineering."",""_id"":{""$oid"":""6245e0c6d245ce52e1b2ec4c""}}]",eng-221:-basic-electrical-engineering-i,[],2022-03-31T17:11:34.677Z
2,62458218569e0aeca6d5645a,4,62413cdeb28d80ff20172fdf,2022-03-31T10:27:36.996Z,2,videoseries?list=PLBlnK6fEyqRgLLlzdgiTUKULKJPYc0A4q,6214e2ac0feccaf7d266ebef,ENG 223: COMPUTER ARCHITECTURE,2,1.75,"[{""user"":{""$oid"":""624578b6bda61dc56d57ea2a""},""rating"":1,""comment"":""Horrible Course"",""_id"":{""$oid"":""6245e717d245ce52e1b2ec61""}},{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":2.5,""comment"":""A boring experience."",""_id"":{""$oid"":""6245f988d245ce52e1b2ec9c""}}]",eng-223:-computer-architecture,[],2022-03-31T18:57:12.715Z
2,62458325569e0aeca6d5645e,10,62413cdeb28d80ff20172fdf,2022-03-31T10:32:05.569Z,2,videoseries?list=PL8T_f_7Y4chbrbaAwZwjJAWzHIcUX6XZZ,6214e2ac0feccaf7d266ebef,ENG 231: ENGINEERING DRAWING I,2,3,"[{""user"":{""$oid"":""624578b6bda61dc56d57ea2a""},""rating"":1.5,""comment"":""Very boring"",""_id"":{""$oid"":""6245e50cd245ce52e1b2ec5c""}},{""user"":{""$oid"":""6214e3360feccaf7d266ebf4""},""rating"":4.5,""comment"":""Terrific course."",""_id"":{""$oid"":""6245fa75d245ce52e1b2eca5""}}]",eng-231:-engineering-drawing-i,[],2022-03-31T19:01:09.568Z
2,62458462569e0aeca6d56465,5,62413cdeb28d80ff20172fdf,2022-03-31T10:37:22.528Z,2,videoseries?list=PLLbvVfERDon1pceRKOjAxiqFTEvghmZKh,6214e2ac0feccaf7d266ebef,ENG 233: ENGINEERING MECHANICS I,2,1,"[{""user"":{""$oid"":""624578b6bda61dc56d57ea2a""},""rating"":1,""comment"":""Solid learning experience"",""_id"":{""$oid"":""6245e773d245ce52e1b2ec66""}},{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":1,""comment"":""Meh"",""_id"":{""$oid"":""6245fb66d245ce52e1b2ecac""}}]",eng-233:-engineering-mechanics-i,[],2022-03-31T19:05:10.163Z
2,624585f9569e0aeca6d5646e,6,62413cdeb28d80ff20172fdf,2022-03-31T10:44:09.733Z,2,videoseries?list=PLOBajja3EcWKh2FzR0KiGQCKkpjN9FpLV,6214e2ac0feccaf7d266ebef,ENG 235: ENGINEERING THERMODYNAMICS I,2,4,"[{""user"":{""$oid"":""624577d0e92ce9961959d77b""},""rating"":4.5,""comment"":""A terrific learning experience."",""_id"":{""$oid"":""6245f83cd245ce52e1b2ec92""}},{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":3.5,""comment"":""A very good course."",""_id"":{""$oid"":""6245fd39d245ce52e1b2ecb3""}}]",eng-235:-engineering-thermodynamics-i,[],2022-03-31T19:12:57.029Z
2,62458825569e0aeca6d56472,7,62413cdeb28d80ff20172fdf,2022-03-31T10:53:25.564Z,2,videoseries?list=PLxlqYU1LgCF8fg80tQNjbKCfwzE3IvvDb,6214e2ac0feccaf7d266ebef,ENG 261: WORKSHOP TECHNOLOGY I,2,3,"[{""user"":{""$oid"":""624577d0e92ce9961959d77b""},""rating"":2,""comment"":""I didn't learn much from this course."",""_id"":{""$oid"":""6245e301d245ce52e1b2ec56""}},{""user"":{""$oid"":""62371761ae894c9bdca29a15""},""rating"":4,""comment"":""Great stuff!."",""_id"":{""$oid"":""6245fde7d245ce52e1b2ecbc""}}]",eng-261:-workshop-technology-i,[],2022-03-31T19:15:51.940Z
2,624588cb569e0aeca6d56479,9,62413cdeb28d80ff20172fdf,2022-03-31T10:56:11.304Z,3,videoseries?list=PLMrJAkhIeNNR2W2sPWsYxfrxcASrUt_9j,6214e2ac0feccaf7d266ebef,ENG 281: ENGINEERING MATHEMATICS I,2,4.25,"[{""user"":{""$oid"":""6214e3360feccaf7d266ebf4""},""rating"":5,""comment"":""Incredible for learning."",""_id"":{""$oid"":""6245db88d245ce52e1b2ec38""}},{""user"":{""$oid"":""624577d0e92ce9961959d77b""},""rating"":3.5,""comment"":""I love mathematics!"",""_id"":{""$oid"":""6245e24ed245ce52e1b2ec51""}}]",eng-281:-engineering-mathematics-i,[],2022-03-31T17:18:06.667Z
0,62603428e8c507e186ea4f88,35,62413cdeb28d80ff20172fdf,2022-04-20T16:26:16.278Z,2,videoseries?list=PLrj7eQjjfPEZew8FCTeclOW7wyVTVYEJT,6214e2ac0feccaf7d266ebef,GST 201: PEACE STUDIES AND CONFLICT RESOLUTION,0,0,[],gst-201:-peace-studies-and-conflict-resolution,[],2022-04-20T16:26:16.278Z
0,6260350ae8c507e186ea4f8c,34,62413cdeb28d80ff20172fdf,2022-04-20T16:30:02.708Z,2,videoseries?list=PLLy_2iUCG87BNHXRb6L2pWEpMcLoFaY_U,6214e2ac0feccaf7d266ebef,ENG 204: INTRODUCTION TO MECHATRONICS ENGINEERING,0,0,[],eng-204:-introduction-to-mechatronics-engineering,[],2022-04-20T16:30:02.708Z
0,6260395de8c507e186ea4f90,33,62413cdeb28d80ff20172fdf,2022-04-20T16:48:29.164Z,3,videoseries?list=PLX2gX-ftPVXW6bFHC_a2wsp7kJgWyeaT0,6214e2ac0feccaf7d266ebef,ENG 222: BASIC ELECTRICAL ENGINEERING II,0,0,[],eng-222:-basic-electrical-engineering-ii,[],2022-04-20T16:48:29.164Z
